Daylight,Inexperience,NumberOfCrew,UnderstandingOfShipCharacteristic,UnderstandingOfWaterConditionDual Task,VisualObservation,Master,ShipCommunication,Pilot,CrewCompetence,Uncertain,Fatigue,CrewHealth,NavcomEquipment,NavcomUtilized,UnderstandingOfNavcomSign,Manuveurability,DecisionMaking,SituationalAwareness,GoodSeamanship,PreventiveTiming,TechnicalFailure,Collision
0,0,1,1,1,0,1,1,0,3,0,0,0,1,1,0,1,1,0,0,0,0,0,Collision
0,0,1,1,1,1,0,0,1,3,1,0,0,1,1,0,1,1,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,3,0,1,0,1,1,1,1,1,0,1,0,0,0,Near Miss
0,0,1,1,1,1,1,0,1,3,0,1,0,1,1,1,1,1,0,1,0,1,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,2,1,0,0,1,1,1,1,0,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,0,2,1,1,0,1,1,1,1,0,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,0,2,1,1,0,1,1,1,1,0,0,1,0,0,0,Collision
1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,Near Miss
1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,Collision
1,0,1,0,0,0,0,1,1,2,0,0,1,1,1,0,0,0,0,1,0,0,0,Collision
0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,Collision
0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,2,1,0,0,1,1,1,1,1,1,1,0,0,0,Collision
0,0,1,1,1,0,1,1,0,3,1,0,0,1,1,0,0,1,0,0,0,0,0,Collision
1,0,1,1,1,0,1,1,0,2,0,1,0,1,1,1,1,0,0,1,0,0,0,Collision
1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,Collision
0,0,1,1,1,0,0,1,0,2,0,0,0,1,0,0,1,1,1,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,Near Miss
0,0,1,1,1,0,1,0,0,2,1,0,0,1,1,1,1,0,0,0,1,0,0,Near Miss
0,0,1,1,1,0,1,0,0,2,1,0,0,1,1,1,1,0,0,0,1,0,0,Collision
0,1,0,1,1,1,1,1,0,3,0,0,1,1,0,0,1,1,0,1,0,0,0,Collision
0,1,1,1,1,0,1,1,1,3,1,0,0,1,1,1,1,0,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,2,1,0,0,1,1,1,1,0,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,Near Miss
1,0,1,1,0,0,1,1,1,2,1,0,0,1,1,1,1,0,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,2,1,0,0,0,1,0,1,1,1,0,0,1,0,Near Miss
1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,Collision
1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,Collision
0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,Near Miss
0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,Near Miss
0,0,1,0,1,0,1,1,1,2,1,1,0,1,1,1,1,1,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,2,1,1,0,1,1,1,1,1,0,0,0,0,0,Collision
0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,Collision
0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,Near Miss
0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Near Miss
0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Near Miss
0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,Collision
1,0,1,1,1,0,1,1,1,3,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
1,1,1,0,0,1,1,0,0,3,1,0,0,1,1,0,0,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,3,1,0,0,1,1,0,1,1,1,1,1,1,0,Near Miss
0,1,1,0,0,0,0,0,0,3,1,1,0,1,1,0,1,1,1,1,0,0,0,Collision
1,0,1,0,0,0,1,0,1,3,1,1,0,1,1,1,1,1,1,1,1,0,0,Collision
1,1,1,1,1,1,1,0,0,3,1,0,0,1,1,0,0,1,0,1,0,0,0,Collision
0,1,1,0,0,0,1,0,1,3,1,1,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,0,0,1,1,1,3,1,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,1,0,0,0,1,1,0,0,3,0,0,0,1,1,0,1,1,0,1,0,0,0,Collision
0,1,0,0,0,1,1,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,Collision
1,0,1,1,1,0,1,0,0,3,1,1,0,1,1,1,1,1,1,1,0,1,0,Near Miss
1,0,1,1,1,0,1,0,0,3,1,1,0,1,1,1,1,1,1,1,0,1,0,Near Miss
1,0,1,1,1,0,1,0,0,3,1,1,0,1,1,1,1,1,1,1,0,1,0,Near Miss
1,0,1,1,0,1,1,0,0,3,1,0,1,1,1,0,1,1,1,0,0,0,0,Collision
1,0,1,1,0,0,1,1,0,3,1,0,0,1,1,0,1,1,1,0,0,0,0,Collision
0,1,1,1,1,0,1,0,0,3,0,1,0,1,1,0,1,1,1,0,0,0,0,Collision
0,0,1,1,1,0,1,0,1,3,0,1,0,0,1,0,1,1,1,0,0,0,0,Collision
0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,Collision
0,0,1,1,1,1,0,1,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,Collision
0,0,1,1,1,1,1,0,0,3,1,1,0,1,1,0,0,1,0,0,0,0,0,Near Miss
0,0,1,1,1,0,1,0,1,3,1,1,0,1,1,1,1,1,1,1,1,0,0,Collision
0,1,1,1,1,0,1,1,1,3,0,0,0,1,1,0,1,0,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,Near Miss
0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,Collision
0,0,1,1,1,1,1,1,0,2,1,0,0,1,1,1,1,0,0,1,0,1,0,Collision
0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,Collision
1,0,1,1,1,0,1,1,1,3,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,Collision
1,1,1,0,0,0,0,1,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,Collision
1,0,0,1,1,1,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,Collision
0,0,1,1,1,1,0,1,0,3,0,0,0,1,1,0,0,1,0,1,0,0,0,Collision
0,1,0,1,1,0,1,1,1,3,0,0,0,1,0,0,1,0,1,1,1,0,0,Near Miss
0,0,0,1,1,0,0,1,1,2,0,0,0,1,1,1,1,1,1,0,1,0,0,Near Miss
0,0,0,1,1,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,Collision
0,0,1,1,1,0,1,1,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,Near Miss
0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Near Miss
0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,Collision
0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,Near Miss
0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,Collision
1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,Collision
1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,Collision
0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,Collision
1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,Collision
1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,Collision
0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,Collision
0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,Collision
0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,Near Miss
0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,Collision
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,Near Miss
0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,Near Miss
1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,Collision
1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,Collision
